label,value
"Digos City  
                        ",531
"Bansalan  
                        ",532
"Don Marcelino  
                        ",533
"Hagonoy  
                        ",534
"Jose Abad Santos  
                        ",535
"Kiblawan  
                        ",536
"Magsaysay  
                        ",537
"Malalag  
                        ",538
"Malita  
                        ",539
"Matanao  
                        ",540
"Padada  
                        ",541
"Santa Cruz  
                        ",542
"Santa Maria  
                        ",543
"Sarangani  
                        ",544
"Sulop  
                        ",545
"Mati City  
                        ",546
"Baganga  
                        ",547
"Banaybanay  
                        ",548
"Boston  
                        ",549
"Caraga  
                        ",550
"Cateel  
                        ",551
"Governor Generoso  
                        ",552
"Lupon  
                        ",553
"Manay  
                        ",554
"San Isidro  
                        ",555
"Tarragona  
                        ",556
"Arteche  
                        ",557
"Balangiga  
                        ",558
"Balangkayan  
                        ",559
"Borongan  
                        ",560
"Can-avid  
                        ",561
"Dolores  
                        ",562
"General MacArthur  
                        ",563
"Giporlos  
                        ",564
"Guiuan  
                        ",565
"Hernani  
                        ",566
"Jipapad  
                        ",567
"Lawaan  
                        ",568
"Llorente  
                        ",569
"Maslog  
                        ",570
"Maydolong  
                        ",571
"Mercedes  
                        ",572
"Oras  
                        ",573
"Quinapondan  
                        ",574
"Salcedo  
                        ",575
"San Julian  
                        ",576
"San Policarpo  
                        ",577
"Sulat  
                        ",578
"Taft  
                        ",579
"Buenavista  
                        ",580
"Jordan  
                        ",581
"Nueva Valencia  
                        ",582
"San Lorenzo  
                        ",583
"Sibunag  
                        ",584
"Aguinaldo  
                        ",585
"Alfonso Lista  
                        ",586
"Asipulo  
                        ",587
"Banaue  
                        ",588
"Hingyon  
                        ",589
"Hungduan  
                        ",590
"Kiangan  
                        ",591
"Lagawe  
                        ",592
"Lamut  
                        ",593
"Mayoyao  
                        ",594
"Tinoc  
                        ",595
"Batac City  
                        ",596
"Laoag City  
                        ",597
"Adams  
                        ",598
"Bacarra  
                        ",599
"Badoc  
                        ",600
"Bangui  
                        ",601
"Banna  
                        ",602
"Burgos  
                        ",603
"Carasi  
                        ",604
"Currimao  
                        ",605
"Dingras  
                        ",606
"Dumalneg  
                        ",607
"Marcos  
                        ",608
"Nueva Era  
                        ",609
"Pagudpud  
                        ",610
"Paoay  
                        ",611
"Pasuquin  
                        ",612
"Piddig  
                        ",613
"Pinili  
                        ",614
"San Nicolas  
                        ",615
"Sarrat  
                        ",616
"Solsona  
                        ",617
"Vintar  
                        ",618
"Candon City  
                        ",619
"Vigan City  
                        ",620
"Alilem  
                        ",621
"Banayoyo  
                        ",622
"Bantay  
                        ",623
"Burgos  
                        ",624
"Cabugao  
                        ",625
"Caoayan  
                        ",626
"Cervantes  
                        ",627
"Galimuyod  
                        ",628
"Gregorio Del Pilar  
                        ",629
"Lidlidda  
                        ",630
"Magsingal  
                        ",631
"Nagbukel  
                        ",632
"Narvacan  
                        ",633
"Quirino  
                        ",634
"Salcedo  
                        ",635
"San Emilio  
                        ",636
"San Esteban  
                        ",637
"San Ildefonso  
                        ",638
"San Juan  
                        ",639
"San Vicente  
                        ",640
"Santa  
                        ",641
"Santa Catalina  
                        ",642
